EmployeeID,LastName,FirstName,Date,TimeIn,TimeOut
10002,Lim,Antonio,2024-06-10,08:02,18:40
10003,Aquino,Bianca Sofia,2024-06-10,08:58,17:52
10004,Reyes,Isabella,2024-06-10,10:10,18:58
10005,Hernandez,Eduard,2024-06-10,08:05,18:04
10006,Villanueva,Andrea Mae,2024-06-10,08:10,16:39
10007,San Jose,Brad,2024-06-10,10:03,17:48
10008,Romualdez,Alice,2024-06-10,10:06,19:18
10009,Atienza,Rosie,2024-06-10,08:21,17:52
10010,Alvaro,Roderick,2024-06-10,10:55,19:46
10011,Salcedo,Anthony,2024-06-10,08:34,18:32
10012,Lopez,Josie,2024-06-10,08:58,17:00
10013,Farala,Martha,2024-06-10,08:06,15:55
10014,Martinez,Leila,2024-06-10,09:43,19:52
10015,Romualdez,Fredrick,2024-06-10,10:27,20:11
10016,Mata,Christian,2024-06-10,09:58,20:46
10017,De Leon,Selena,2024-06-10,09:52,18:35
10018,San Jose,Allison,2024-06-10,10:51,20:16
10019,Rosario,Cydney,2024-06-10,09:10,17:11
10020,Bautista,Mark,2024-06-10,10:10,18:23
10021,Lazaro,Darlene,2024-06-10,09:03,16:45
10022,Delos Santos,Kolby,2024-06-10,10:26,17:58
10023,Santos,Vella,2024-06-10,09:25,16:34
10024,Del Rosario,Tomas,2024-06-10,10:08,19:10
10025,Tolentino,Jacklyn,2024-06-10,08:18,18:17
10026,Gutierrez,Percival,2024-06-10,08:42,17:01
10027,Manalaysay,Garfield,2024-06-10,08:06,15:36
10028,Villegas,Lizeth,2024-06-10,09:28,16:52
10029,Ramos,Carol,2024-06-10,09:09,17:05
10030,Maceda,Emelia,2024-06-10,08:21,17:24
10031,Aguilar,Delia,2024-06-10,10:24,20:26
10032,Castro,John Rafael,2024-06-10,10:13,20:59
10033,Martinez,Carlos Ian,2024-06-10,08:14,17:40
10034,Santos,Beatriz,2024-06-10,08:01,17:28
10001,Garcia,Manuel III,2024-06-11,10:30,20:53
10002,Lim,Antonio,2024-06-11,09:55,19:49
10003,Aquino,Bianca Sofia,2024-06-11,09:35,17:06
10004,Reyes,Isabella,2024-06-11,09:28,20:26
10005,Hernandez,Eduard,2024-06-11,08:48,16:10
10006,Villanueva,Andrea Mae,2024-06-11,09:26,18:47
10007,San Jose,Brad,2024-06-11,09:18,17:50
10008,Romualdez,Alice,2024-06-11,08:09,17:46
10009,Atienza,Rosie,2024-06-11,08:28,18:03
10010,Alvaro,Roderick,2024-06-11,08:23,15:46
10011,Salcedo,Anthony,2024-06-11,10:09,17:16
10012,Lopez,Josie,2024-06-11,10:11,18:50
10013,Farala,Martha,2024-06-11,08:40,19:20
10014,Martinez,Leila,2024-06-11,10:46,20:44
10015,Romualdez,Fredrick,2024-06-11,08:51,17:19
10016,Mata,Christian,2024-06-11,09:10,16:26
10017,De Leon,Selena,2024-06-11,09:47,19:03
10018,San Jose,Allison,2024-06-11,09:32,17:59
10019,Rosario,Cydney,2024-06-11,09:49,19:35
10020,Bautista,Mark,2024-06-11,09:59,17:53
10021,Lazaro,Darlene,2024-06-11,09:33,18:51
10022,Delos Santos,Kolby,2024-06-11,09:28,18:33
10023,Santos,Vella,2024-06-11,08:48,19:10
10024,Del Rosario,Tomas,2024-06-11,09:49,17:56
10025,Tolentino,Jacklyn,2024-06-11,08:21,17:48
10026,Gutierrez,Percival,2024-06-11,10:35,20:15
10027,Manalaysay,Garfield,2024-06-11,10:18,19:33
10028,Villegas,Lizeth,2024-06-11,08:56,18:11
10029,Ramos,Carol,2024-06-11,09:43,19:23
10030,Maceda,Emelia,2024-06-11,08:20,18:18
10031,Aguilar,Delia,2024-06-11,09:04,17:38
10032,Castro,John Rafael,2024-06-11,09:11,17:52
10033,Martinez,Carlos Ian,2024-06-11,10:15,20:21
10034,Santos,Beatriz,2024-06-11,10:39,17:46
10001,Garcia,Manuel III,2024-06-12,08:37,18:25
10002,Lim,Antonio,2024-06-12,09:04,18:20
10003,Aquino,Bianca Sofia,2024-06-12,10:51,20:14
10004,Reyes,Isabella,2024-06-12,09:12,16:56
10005,Hernandez,Eduard,2024-06-12,10:10,18:34
10006,Villanueva,Andrea Mae,2024-06-12,09:15,18:49
10007,San Jose,Brad,2024-06-12,09:01,16:14
10008,Romualdez,Alice,2024-06-12,09:55,17:36
10009,Atienza,Rosie,2024-06-12,10:27,20:01
10010,Alvaro,Roderick,2024-06-12,10:48,19:52
10011,Salcedo,Anthony,2024-06-12,08:57,19:50
10012,Lopez,Josie,2024-06-12,10:45,19:08
10013,Farala,Martha,2024-06-12,09:34,19:14
10014,Martinez,Leila,2024-06-12,09:06,18:52
10015,Romualdez,Fredrick,2024-06-12,08:53,17:12
10016,Mata,Christian,2024-06-12,10:38,20:53
10017,De Leon,Selena,2024-06-12,09:05,16:27
10018,San Jose,Allison,2024-06-12,08:25,15:59
10019,Rosario,Cydney,2024-06-12,10:09,18:38
10020,Bautista,Mark,2024-06-12,08:50,16:42
10021,Lazaro,Darlene,2024-06-12,10:09,19:52
10022,Delos Santos,Kolby,2024-06-12,10:35,21:04
10023,Santos,Vella,2024-06-12,10:53,20:58
10024,Del Rosario,Tomas,2024-06-12,10:05,18:59
10025,Tolentino,Jacklyn,2024-06-12,08:23,17:26
10026,Gutierrez,Percival,2024-06-12,08:03,17:02
10027,Manalaysay,Garfield,2024-06-12,09:15,16:57
10028,Villegas,Lizeth,2024-06-12,10:33,18:46
10029,Ramos,Carol,2024-06-12,08:37,16:08
10030,Maceda,Emelia,2024-06-12,08:20,16:05
10031,Aguilar,Delia,2024-06-12,09:36,20:16
10032,Castro,John Rafael,2024-06-12,09:16,19:11
10033,Martinez,Carlos Ian,2024-06-12,08:11,17:57
10034,Santos,Beatriz,2024-06-12,08:56,18:37
10001,Garcia,Manuel III,2024-06-13,08:24,19:20
10002,Lim,Antonio,2024-06-13,08:35,18:33
10003,Aquino,Bianca Sofia,2024-06-13,08:53,19:06
10004,Reyes,Isabella,2024-06-13,09:49,17:38
10005,Hernandez,Eduard,2024-06-13,09:56,18:07
10006,Villanueva,Andrea Mae,2024-06-13,10:47,19:54
10007,San Jose,Brad,2024-06-13,10:00,18:49
10008,Romualdez,Alice,2024-06-13,09:14,19:44
10009,Atienza,Rosie,2024-06-13,10:09,17:16
10010,Alvaro,Roderick,2024-06-13,10:59,21:30
10011,Salcedo,Anthony,2024-06-13,08:08,17:12
10012,Lopez,Josie,2024-06-13,09:10,17:36
10013,Farala,Martha,2024-06-13,09:13,18:23
10014,Martinez,Leila,2024-06-13,10:56,21:55
10015,Romualdez,Fredrick,2024-06-13,09:49,17:47
10016,Mata,Christian,2024-06-13,08:48,16:16
10017,De Leon,Selena,2024-06-13,09:10,19:57
10018,San Jose,Allison,2024-06-13,08:02,17:45
10019,Rosario,Cydney,2024-06-13,09:44,20:13
10020,Bautista,Mark,2024-06-13,10:17,18:23
10021,Lazaro,Darlene,2024-06-13,08:47,17:17
10022,Delos Santos,Kolby,2024-06-13,09:11,17:26
10023,Santos,Vella,2024-06-13,09:30,19:55
10024,Del Rosario,Tomas,2024-06-13,10:53,18:33
10025,Tolentino,Jacklyn,2024-06-13,09:11,17:41
10026,Gutierrez,Percival,2024-06-13,09:35,18:44
10027,Manalaysay,Garfield,2024-06-13,08:44,19:30
10028,Villegas,Lizeth,2024-06-13,10:22,19:14
10029,Ramos,Carol,2024-06-13,08:06,17:03
10030,Maceda,Emelia,2024-06-13,09:34,16:40
10031,Aguilar,Delia,2024-06-13,08:20,17:02
10032,Castro,John Rafael,2024-06-13,09:00,18:18
10033,Martinez,Carlos Ian,2024-06-13,10:17,18:35
10034,Santos,Beatriz,2024-06-13,08:35,15:37
10001,Garcia,Manuel III,2024-06-14,09:28,19:24
10002,Lim,Antonio,2024-06-14,08:22,17:34
10003,Aquino,Bianca Sofia,2024-06-14,10:20,18:16
10004,Reyes,Isabella,2024-06-14,09:32,20:09
10005,Hernandez,Eduard,2024-06-14,08:50,16:13
10006,Villanueva,Andrea Mae,2024-06-14,09:36,16:42
10007,San Jose,Brad,2024-06-14,08:12,16:15
10008,Romualdez,Alice,2024-06-14,08:40,18:51
10009,Atienza,Rosie,2024-06-14,08:16,18:15
10010,Alvaro,Roderick,2024-06-14,09:41,20:11
10011,Salcedo,Anthony,2024-06-14,09:49,17:31
10012,Lopez,Josie,2024-06-14,08:39,16:13
10013,Farala,Martha,2024-06-14,08:11,16:02
10014,Martinez,Leila,2024-06-14,10:43,21:35
10015,Romualdez,Fredrick,2024-06-14,08:25,18:56
10016,Mata,Christian,2024-06-14,08:23,16:51
10017,De Leon,Selena,2024-06-14,09:40,17:06
10018,San Jose,Allison,2024-06-14,10:43,18:48
10019,Rosario,Cydney,2024-06-14,09:30,20:15
10020,Bautista,Mark,2024-06-14,08:53,18:16
10021,Lazaro,Darlene,2024-06-14,09:44,18:25
10022,Delos Santos,Kolby,2024-06-14,10:50,18:13
10023,Santos,Vella,2024-06-14,10:53,18:21
10024,Del Rosario,Tomas,2024-06-14,10:32,20:01
10025,Tolentino,Jacklyn,2024-06-14,10:47,20:27
10026,Gutierrez,Percival,2024-06-14,08:34,16:56
10027,Manalaysay,Garfield,2024-06-14,10:59,19:33
10028,Villegas,Lizeth,2024-06-14,08:09,18:57
10029,Ramos,Carol,2024-06-14,08:06,18:49
10030,Maceda,Emelia,2024-06-14,10:29,20:21
10031,Aguilar,Delia,2024-06-14,10:28,21:27
10032,Castro,John Rafael,2024-06-14,10:40,20:16
10033,Martinez,Carlos Ian,2024-06-14,09:32,19:35
10034,Santos,Beatriz,2024-06-14,09:26,19:24
10001,Garcia,Manuel III,2024-06-17,09:07,19:10
10002,Lim,Antonio,2024-06-17,09:44,18:35
10003,Aquino,Bianca Sofia,2024-06-17,10:46,20:54
10004,Reyes,Isabella,2024-06-17,08:50,17:42
10005,Hernandez,Eduard,2024-06-17,09:36,18:09
10006,Villanueva,Andrea Mae,2024-06-17,10:33,20:06
10007,San Jose,Brad,2024-06-17,09:38,18:50
10008,Romualdez,Alice,2024-06-17,10:42,18:58
10009,Atienza,Rosie,2024-06-17,10:20,19:02
10010,Alvaro,Roderick,2024-06-17,09:15,16:52
10011,Salcedo,Anthony,2024-06-17,08:55,18:30
10012,Lopez,Josie,2024-06-17,10:55,20:19
10013,Farala,Martha,2024-06-17,10:01,20:57
10014,Martinez,Leila,2024-06-17,10:21,20:16
10015,Romualdez,Fredrick,2024-06-17,09:16,20:00
10016,Mata,Christian,2024-06-17,10:01,19:45
10017,De Leon,Selena,2024-06-17,09:30,17:12
10018,San Jose,Allison,2024-06-17,10:55,20:17
10019,Rosario,Cydney,2024-06-17,10:40,19:43
10020,Bautista,Mark,2024-06-17,08:05,18:31
10021,Lazaro,Darlene,2024-06-17,10:25,20:02
10022,Delos Santos,Kolby,2024-06-17,09:40,20:22
10023,Santos,Vella,2024-06-17,09:59,18:10
10024,Del Rosario,Tomas,2024-06-17,09:26,19:41
10025,Tolentino,Jacklyn,2024-06-17,09:48,17:00
10026,Gutierrez,Percival,2024-06-17,08:51,18:33
10027,Manalaysay,Garfield,2024-06-17,09:44,20:40
10028,Villegas,Lizeth,2024-06-17,10:42,20:23
10029,Ramos,Carol,2024-06-17,08:39,18:38
10030,Maceda,Emelia,2024-06-17,10:37,20:45
10031,Aguilar,Delia,2024-06-17,08:15,18:19
10032,Castro,John Rafael,2024-06-17,10:52,18:42
10033,Martinez,Carlos Ian,2024-06-17,09:02,17:05
10034,Santos,Beatriz,2024-06-17,08:58,16:23
10001,Garcia,Manuel III,2024-06-18,08:32,18:35
10002,Lim,Antonio,2024-06-18,09:55,17:35
10003,Aquino,Bianca Sofia,2024-06-18,08:38,18:30
10004,Reyes,Isabella,2024-06-18,10:56,21:09
10005,Hernandez,Eduard,2024-06-18,10:24,17:43
10006,Villanueva,Andrea Mae,2024-06-18,10:38,20:08
10007,San Jose,Brad,2024-06-18,09:32,18:44
10008,Romualdez,Alice,2024-06-18,09:42,17:50
10009,Atienza,Rosie,2024-06-18,09:50,20:38
10010,Alvaro,Roderick,2024-06-18,10:27,17:53
10011,Salcedo,Anthony,2024-06-18,10:42,17:51
10012,Lopez,Josie,2024-06-18,10:05,19:29
10013,Farala,Martha,2024-06-18,08:39,17:22
10014,Martinez,Leila,2024-06-18,09:35,17:36
10015,Romualdez,Fredrick,2024-06-18,09:23,19:32
10016,Mata,Christian,2024-06-18,09:48,20:06
10017,De Leon,Selena,2024-06-18,10:53,21:03
10018,San Jose,Allison,2024-06-18,08:46,18:58
10019,Rosario,Cydney,2024-06-18,10:30,18:51
10020,Bautista,Mark,2024-06-18,10:17,17:37
10021,Lazaro,Darlene,2024-06-18,09:02,17:36
10022,Delos Santos,Kolby,2024-06-18,10:31,20:21
10023,Santos,Vella,2024-06-18,10:35,19:00
10024,Del Rosario,Tomas,2024-06-18,09:34,18:17
10025,Tolentino,Jacklyn,2024-06-18,09:33,18:29
10026,Gutierrez,Percival,2024-06-18,09:31,17:55
10027,Manalaysay,Garfield,2024-06-18,10:11,19:05
10028,Villegas,Lizeth,2024-06-18,08:38,18:56
10029,Ramos,Carol,2024-06-18,10:38,20:05
10030,Maceda,Emelia,2024-06-18,09:42,16:47
10031,Aguilar,Delia,2024-06-18,08:43,19:22
10032,Castro,John Rafael,2024-06-18,10:16,17:23
10033,Martinez,Carlos Ian,2024-06-18,08:06,16:59
10034,Santos,Beatriz,2024-06-18,10:36,20:55
10001,Garcia,Manuel III,2024-06-19,09:05,18:30
10002,Lim,Antonio,2024-06-19,09:29,19:35
10003,Aquino,Bianca Sofia,2024-06-19,10:53,19:46
10004,Reyes,Isabella,2024-06-19,09:48,18:19
10005,Hernandez,Eduard,2024-06-19,10:35,18:43
10006,Villanueva,Andrea Mae,2024-06-19,09:14,17:39
10007,San Jose,Brad,2024-06-19,10:00,18:43
10008,Romualdez,Alice,2024-06-19,08:44,16:49
10009,Atienza,Rosie,2024-06-19,10:54,20:06
10010,Alvaro,Roderick,2024-06-19,10:54,20:05
10011,Salcedo,Anthony,2024-06-19,10:30,18:23
10012,Lopez,Josie,2024-06-19,08:25,16:47
10013,Farala,Martha,2024-06-19,09:56,20:42
10014,Martinez,Leila,2024-06-19,10:32,20:15
10015,Romualdez,Fredrick,2024-06-19,09:14,16:59
10016,Mata,Christian,2024-06-19,08:14,19:12
10017,De Leon,Selena,2024-06-19,08:12,16:41
10018,San Jose,Allison,2024-06-19,08:30,18:47
10019,Rosario,Cydney,2024-06-19,09:44,17:47
10020,Bautista,Mark,2024-06-19,10:03,20:37
10021,Lazaro,Darlene,2024-06-19,10:37,18:21
10022,Delos Santos,Kolby,2024-06-19,10:52,18:13
10023,Santos,Vella,2024-06-19,10:42,18:17
10024,Del Rosario,Tomas,2024-06-19,08:08,16:53
10025,Tolentino,Jacklyn,2024-06-19,09:42,18:08
10026,Gutierrez,Percival,2024-06-19,09:23,17:05
10027,Manalaysay,Garfield,2024-06-19,09:32,16:44
10028,Villegas,Lizeth,2024-06-19,10:35,18:55
10029,Ramos,Carol,2024-06-19,09:01,18:37
10030,Maceda,Emelia,2024-06-19,10:29,17:34
